names,scores,logfoldchanges,pvals,pvals_adj
SP100,-0.7494679,-8.378513,0.45357524134735705,0.45894299568282876
APEX1,-2.1802702,-11.234854,0.0292374353989396,0.030209072224886235
ATRX,-2.3846705,-9.639622,0.01709442092237011,0.017716036228638113
DDIT3,-5.2462754,-9.7240715,1.5520495460899894e-07,1.633233676193158e-07
CCNH,-6.13201,-9.629773,8.677561448298115e-10,9.303216348959108e-10
GGA1,-6.677078,-8.434972,2.4375386306929344e-11,2.6464705133237575e-11
SF3B2,-6.745211,-9.646793,1.528047278732433e-11,1.6696235441740958e-11
MBP,-6.949611,-9.425492,3.6629377494673454e-12,4.028053730925506e-12
STAT3,-7.9034796,-9.822483,2.7122348683674443e-15,3.051264226913375e-15
PPP2CA,-9.67495,-8.679001,3.8528291738138827e-22,4.392225258147826e-22
UBE2N,-10.969484,-9.837191,5.357687877066707e-28,6.148755885761121e-28
BCAS2,-11.991487,-11.489871,3.93775235649975e-33,4.62787390351517e-33
TMEM230,-12.127753,-9.6659355,7.528674939098763e-34,8.909366190905802e-34
ERCC1,-12.46842,-11.365215,1.1100458346551234e-35,1.327397466615567e-35
PIK3R1,-12.809088,-10.66834,1.4583911711811487e-37,1.7624373870811054e-37
SLA,-12.945354,-11.827673,2.4960811130367056e-38,3.0271622009168556e-38
PLAU,-13.694822,-14.670729,1.0902649989686958e-42,1.3461033561274149e-42
GNAI3,-14.308023,-9.974788,1.9497635361402736e-46,2.4425609134064963e-46
LGALS3,-15.057491,-11.469218,3.082640647206358e-51,3.8759672843550536e-51
LSM7,-15.330025,-11.25192,4.817999747047703e-53,6.080280123580496e-53
GLS,-15.466292,-12.028306,5.858585926131645e-54,7.420875506433418e-54
PPT1,-16.42016,-10.542452,1.3720383991061506e-60,1.7640493702793363e-60
CXCR4,-16.897095,-10.6482115,4.72629298361635e-64,6.145977948276774e-64
PMP22,-17.305895,-12.576807,4.2463050446082344e-67,5.6070900589035376e-67
SLC2A3,-19.145498,-12.19537,1.055247613762678e-81,1.4493762405897023e-81
CYBB,-20.440033,-10.1173115,7.368852785296772e-93,1.0413833275088827e-92
EGR1,-21.121368,-19.048735,5.06080528556291e-99,7.272249612027374e-99
NCL,-21.257635,-10.728977,2.8018521673553053e-100,4.077589111640487e-100
NR4A2,-22.211504,-16.538565,2.65892387579976e-109,4.0059557952577885e-109
ATF4,-23.437904,-11.153079,1.7561780427565083e-121,2.7551050028565404e-121
CHCHD10,-23.506039,-11.232524,3.5381583517708803e-122,5.576268001408483e-122
LMNA,-23.574171,-16.576859,7.095345236550521e-123,1.1234296624538327e-122
PARK7,-25.890709,-10.814759,8.47416299149949e-148,1.4276668685186334e-147
BIN1,-26.708311,-14.733203,3.768857566241425e-157,6.50984488714428e-157
PRNP,-27.321512,-13.537924,2.3552789838955493e-164,4.1736031735351184e-164
SOD1,-27.730312,-11.1448765,3.0106639143925215e-169,5.390822296975091e-169
CTSC,-28.752314,-12.487363,8.473941082420643e-182,1.5836545629441858e-181
IL1B,-29.024847,-45.284004,3.1970397434501006e-185,6.040815426850465e-185
ARRB2,-29.501781,-10.798719,2.7313669892204068e-191,5.277556555442819e-191
XBP1,-30.66005,-13.116434,1.941331268349165e-206,3.9756604417689485e-206
CYCS,-30.932585,-13.59358,4.3572735520640447e-210,9.086509480523801e-210
HSPA6,-32.22712,-68.78601,7.361207406892232e-228,1.6454463615406167e-227
OLR1,-32.84032,-21.21868,1.5657760458030764e-236,3.6182122139503524e-236
FOS,-33.385387,-28.691122,2.234211101011475e-244,5.2696565279029274e-244
LAMP1,-33.58979,-12.085485,2.3647593215337123e-247,5.6954062532713354e-247
CXCL16,-35.36126,-12.737864,6.731680672250604e-274,1.7986209296169584e-273
SPP1,-36.315125,-170.37497,9.338186189973164e-289,2.6393881627858033e-288
